Date,Close/Last,Volume,Open,High,Low,Rise/Fall
2023-03-15,298.93,83631540,294.71,299.27,293.24,1
2023-03-14,297.37,73602550,294.31,297.93,293.45,1
2023-03-13,290.69,97123600,286.73,294.47,285.19,1
2023-03-10,288.55,98593560,292.83,294.35,287.38,0
2023-03-09,292.66,71456690,298.33,300.98,291.8299,0
2023-03-08,297.82,50876270,296.77,298.43,294.88,1
2023-03-07,296.34,65955760,300.07,301.01,295.72,0
2023-03-06,300.02,56736290,300.94,304.0,299.82,0
2023-03-03,299.68,60511540,295.39,299.92,294.87,1
2023-03-02,293.61,53738560,288.66,294.43,288.37,1
2023-03-01,291.2,58286970,293.26,293.93,290.2,0
2023-02-28,293.56,48243140,293.3,296.124,292.96,1
2023-02-27,293.94,48995010,295.07,296.49,293.34,0
2023-02-24,291.85,74331960,291.76,292.97,290.05,1
2023-02-23,296.82,69294440,297.97,298.13,292.55,0
2023-02-22,294.25,51389240,294.62,296.3599,292.56,0
2023-02-21,294.03,46526710,297.26,298.73,293.89,0
2023-02-17,301.16,58230730,301.07,301.93,298.1,1
2023-02-16,303.3,59498630,304.38,308.43,303.15,0
2023-02-15,309.1,43427300,304.9,309.27,304.2,1
2023-02-14,306.75,64079060,302.89,307.72,300.91,1
2023-02-13,304.5,39636720,301.13,305.1,299.93,1
2023-02-10,299.7,50050100,299.48,301.57,297.25,1
2023-02-09,301.68,49137820,308.84,308.99,300.2,0
2023-02-08,304.37,56720860,308.54,309.5,303.67,0
2023-02-07,309.88,67583980,303.46,311.03,302.32,1
2023-02-06,303.59,40802350,303.51,305.91,302.22,1
2023-02-03,306.18,76170800,304.94,312.39,304.54,1
2023-02-02,311.72,83070630,307.57,313.68,306.73,1
2023-02-01,300.92,67562170,294.41,303.43,292.3,1
2023-01-31,294.62,46705110,290.31,294.72,290.2,1
2023-01-30,290.27,49405830,292.93,294.38,289.89,0
2023-01-27,296.26,56441940,292.0,298.26,291.88,1
2023-01-26,293.34,51596340,291.22,293.52,288.519,1
2023-01-25,287.73,50872020,283.77,288.36,281.18,1
2023-01-24,288.37,44875150,287.31,289.55,286.78,1
2023-01-23,288.96,52799910,283.54,290.21,282.73,1
2023-01-20,282.68,60613610,276.79,283.02,275.71,1
2023-01-19,275.15,44150440,276.22,277.375,273.89,0
2023-01-18,277.88,47754550,283.11,284.69,277.67,0
2023-01-17,281.54,36269740,280.77,282.85,279.581,1
2023-01-13,280.97,44802940,276.5,281.219,276.16,1
2023-01-12,279.05,60599950,278.12,280.1,273.74,1
2023-01-11,277.55,44077040,273.92,277.66,273.12,1
2023-01-10,272.83,35247760,269.49,272.94,268.97,1
2023-01-09,270.54,45568680,270.83,275.29,269.92,0
2023-01-06,268.8,54659740,263.35,269.94,260.34,1
2023-01-05,261.58,45396740,264.04,264.21,261.26,0
2023-01-04,265.74,47754860,266.64,267.45,262.53,0
2023-01-03,264.48,42335330,268.65,270.155,262.13,0
2022-12-30,266.28,37858280,263.62,266.41,262.29,1
2022-12-29,266.44,45893570,262.96,267.405,262.25,1
2022-12-28,260.1,47139040,263.17,265.47,259.73,0
2022-12-27,263.58,38009010,266.74,266.85,263.03,0
2022-12-23,267.36,39373580,265.47,268.04,263.53,1
